comuna,provincia,region,superficie_km2,poblacion_2017,densidad_habkm2,latitud_decimal,longitud_decimal,radio_comuna_km
Concepción,Concepción,Biobío,221.6,223574.0,1008.9,-36.815,-73.0289,8.398658867838842
Coronel,Concepción,Biobío,279.4,116262.0,416.1,-36.9819,-73.1569,9.430576981274854
Chiguayante,Concepción,Biobío,71.5,85938.0,1201.9,-36.9089,-73.0278,4.770655810487803
Florida,Concepción,Biobío,608.6,10624.0,17.5,-36.8208,-72.6619,13.918455256653125
Hualqui,Concepción,Biobío,530.5,24333.0,589.2,-36.9669,-72.9328,12.994744884779422
Lota,Concepción,Biobío,135.8,43535.0,320.6,-37.0889,-73.155,6.574684976769516
Penco,Concepción,Biobío,107.6,47367.0,440.2,-36.7419,-72.9978,5.852362237026676
San Pedro de La Paz,Concepción,Biobío,112.5,131808.0,1171.6,-36.8639,-73.1078,5.984134206021491
Santa Juana,Concepción,Biobío,731.2,13749.0,18.8,-37.1792,-72.9353,15.256086941859888
Talcahuano,Concepción,Biobío,92.3,151749.0,1644.1,-36.7358,-73.105,5.420332323277225
Tomé,Concepción,Biobío,494.5,54946.0,111.1,-36.6239,-72.95,12.546084597111742
Hualpén,Concepción,Biobío,53.5,91773.0,1715.4,-36.7889,-73.11,4.126691036512523
Lebu,Arauco,Biobío,561.4,25522.0,45.5,-37.6058,-73.6428,13.36784089161672
Arauco,Arauco,Biobío,956.1,36257.0,37.9,-37.2569,-73.2839,17.44523092940653
Cañete,Arauco,Biobío,1089.2,34537.0,31.7,-35.2828,-72.2328,18.619965843990823
Contulmo,Arauco,Biobío,638.8,6031.0,9.44,-38.005,-73.225,14.259605720152486
Curanilahue,Arauco,Biobío,994.3,32288.0,32.5,-37.4719,-73.3478,17.790320959233508
Los Álamos,Arauco,Biobío,599.1,21035.0,35.1,-37.6208,-73.4558,13.809397264642255
Tirúa,Arauco,Biobío,624.4,10417.0,16.7,-38.3389,-73.4839,14.09796768804493
Los Ángeles,Biobío,Biobío,1748.2,202331.0,115.7,-36.9439,-72.3508,23.589602434685137
Antuco,Biobío,Biobío,1884.1,4073.0,2.16,-37.3269,-71.6778,24.489337609639016
Cabrero,Biobío,Biobío,639.8,28573.0,44.7,-37.0389,-72.3989,14.270762599818879
Laja,Biobío,Biobío,339.8,22389.0,65.9,-37.2669,-72.7,10.400081698008535
Mulchén,Biobío,Biobío,1925.3,29627.0,15.4,-37.715,-72.2389,24.7556463028064
Nacimiento,Biobío,Biobío,934.9,26315.0,28.2,-37.5008,-72.6758,17.25073658117896
Negrete,Biobío,Biobío,156.5,9737.0,62.2,-37.5828,-72.5169,7.0580094352277
Quilaco,Biobío,Biobío,1123.7,3988.0,3.55,-37.68,-72.0069,18.91255718047471
Quilleco,Biobío,Biobío,1121.8,9587.0,8.55,-37.4669,-71.9669,18.896561335887977
San Rosendo,Biobío,Biobío,92.4,3412.0,36.9,-37.2578,-72.7158,5.423267786434878
Santa Bárbara,Biobío,Biobío,1254.9,13773.0,10.9,-37.6628,-72.0178,19.98617212404714
Tucapel,Biobío,Biobío,914.9,14134.0,15.5,-37.6328,-73.3328,17.065219449791734
Yumbel,Biobío,Biobío,727.0,21198.0,29.2,-37.0958,-72.5558,15.212208493693998
Alto Biobío,Biobío,Biobío,2124.6,5923.0,2.79,-38.6189,-71.3242,26.00540682600604
