region,plantacion_forestal,bosque_nativo,bosque_mixto,total,humedales
Arica y Parinacota,20.8,47151.3,0.0,47172.1,"23.759,7"
Tarapacá,29264.2,33246.4,0.0,62510.6,"11.804,0"
Antofagasta,3049.9,11899.3,0.0,14949.2,"47.483,4"
Atacama,276.4,3224.2,0.0,3500.6,"8.919,4"
Coquimbo,12285.1,48474.9,886.4,61646.4,"11.555,1"
Valparaíso,68757.9,484115.7,724.6,553598.1,"9.850,8"
Metropolitana,9181.0,363955.3,218.0,373354.3,"12.515,5"
O'Higgins,130536.4,459309.1,545.7,590391.2,"6.627,7"
Maule,634893.5,581515.3,28674.8,1245083.6,"2.774,0"
Ñuble,380714.9,247979.8,17051.8,645746.5,"978,3"
Biobío,875178.4,597572.7,51635.9,1524387.0,"10.172,8"
La Araucanía,632289.0,964152.9,47639.5,1644081.3,"19.977,9"
Los Ríos,208775.2,908530.7,17866.0,1135171.9,"12.246,4"
Los Lagos,96598.8,2827436.4,12799.3,2936834.5,"56.643,6"
Aysén,32017.3,4398744.8,1083.0,4431845.1,"107.806,0"
Magallanes y de la Antártica,286.2,2760176.6,0.0,2760462.8,"511.811,6"
Total,3114125.0,14737485.0,179125.0,18030735.0,854.896
Porcentaje Nacional,17.27,81.74,0.99,100.0,"1,1"
